state,district,crop_name,season,temperature,rainfall,humidity,soil_ph,nitrogen,phosphorus,potassium,area,yield_tph
Maharashtra,Pune,Rice,Kharif,29,220,78,6.5,95,40,35,2.0,4.8
Maharashtra,Nashik,Wheat,Rabi,22,60,52,7.1,80,38,45,3.0,3.9
Karnataka,Mysuru,Maize,Kharif,27,140,68,6.8,70,32,38,2.5,4.2
Punjab,Ludhiana,Wheat,Rabi,18,40,48,7.4,88,42,50,4.0,5.1
Tamil Nadu,Coimbatore,Cotton,Kharif,31,110,64,6.2,65,30,40,3.2,2.9
Uttar Pradesh,Kanpur,Sugarcane,Kharif,30,180,74,7.0,100,45,48,5.0,7.4
Madhya Pradesh,Indore,Soybean,Kharif,28,130,66,6.7,72,34,36,3.5,3.1
Rajasthan,Kota,Mustard,Rabi,21,35,44,7.6,55,28,42,2.8,2.2
Bihar,Patna,Rice,Kharif,30,210,80,6.4,92,39,34,2.2,4.6
West Bengal,Nadia,Rice,Kharif,31,240,82,6.3,98,41,33,2.0,5.0
Gujarat,Surat,Cotton,Kharif,32,95,60,7.2,60,29,41,3.8,2.6
Haryana,Karnal,Wheat,Rabi,19,45,50,7.3,85,40,49,4.2,4.9
Odisha,Cuttack,Rice,Kharif,29,230,79,6.6,94,43,37,2.3,4.7
Telangana,Warangal,Maize,Kharif,28,120,65,6.9,68,31,39,3.0,3.8
Andhra Pradesh,Guntur,Chilli,Rabi,25,55,58,6.5,62,35,44,1.8,2.4
